# 中日漢字大不同   格式： 漢字 | 日文讀音 | 日文意思 | 台灣人常誤解 | 例句 | 例句假名 | 例句中譯
# 收錄同一漢字在中日文語義落差大、台灣人容易看錯的詞。編輯後執行 python scripts/build_data.py
# 新增請加在檔案末端。

床 | ゆか | 地板 | 誤以為是「睡覺的床」。日文的床是「ベッド」，「布団（ふとん）」是鋪在地上的被褥 | 靴を脱いで床に上がってください。 | くつをぬいでゆかにあがってください。 | 請脫鞋踩上地板。
検討 | けんとう | 研究、評估、審慎考慮 | 誤以為是「檢討、反省」。反省日文是「反省（はんせい）」 | その案は前向きに検討させていただきます。 | そのあんはまえむきにけんとうさせていただきます。 | 我們會積極評估那個提案。
愛人 | あいじん | 情婦、情夫、外遇對象 | 誤以為是「愛人、配偶」。配偶日文用「妻」「夫」「パートナー」 | 週刊誌に愛人の存在を報じられた。 | しゅうかんしにあいじんのそんざいをほうじられた。 | 被週刊爆出有小三。
放心 | ほうしん | 出神、發呆、心不在焉 | 誤以為是「放心、安心」。放心日文是「安心（あんしん）」 | ショックで一日中放心状態だった。 | ショックでいちにちじゅうほうしんじょうたいだった。 | 受到打擊，一整天都魂不守舍。
出世 | しゅっせ | 出人頭地、升官發跡 | 誤以為是「出生、出世」。出生日文是「生まれる」「出生（しゅっしょう）」 | 彼は三十代で部長に出世した。 | かれはさんじゅうだいでぶちょうにしゅっせした。 | 他三十幾歲就升上部長。
経理 | けいり | 會計、財務（部門） | 誤以為是「經理、主管」。經理日文是「マネージャー」「課長」「部長」 | 領収書は経理に提出してください。 | りょうしゅうしょはけいりにていしゅつしてください。 | 收據請交給會計。
質問 | しつもん | 提問、發問 | 誤以為是「質問、質詢責問」。質詢日文是「問いただす」「追及する」 | 質問があれば手を挙げてください。 | しつもんがあればてをあげてください。 | 有問題請舉手。
約束 | やくそく | 約定、約好 | 誤以為是「約束、束縛」。束縛日文是「束縛（そくばく）」「拘束」 | 五時に駅で会う約束をしました。 | ごじにえきであうやくそくをしました。 | 約好五點在車站見。
邪魔 | じゃま | 妨礙、打擾；（進門寒暄）打擾了 | 誤以為是「邪魔、妖魔」 | お邪魔します。 | おじゃまします。 | 打擾了（進門時說）。
我慢 | がまん | 忍耐、忍住 | 誤以為是「傲慢、我行我素」。傲慢日文是「傲慢（ごうまん）」 | トイレを我慢するのは体に悪い。 | トイレをがまんするのはからだにわるい。 | 憋尿對身體不好。
真面目 | まじめ | 認真、正經、老實 | 照字面誤解成「真實面貌」 | 彼はとても真面目に働きます。 | かれはとてもまじめにはたらきます。 | 他工作非常認真。
得意 | とくい | 拿手、擅長；得意 | 只想到「得意忘形」的貶義，其實中性偏正面 | 料理が得意なので任せてください。 | りょうりがとくいなのでまかせてください。 | 我很會做菜，交給我吧。
苦手 | にがて | 不擅長、應付不來、怕 | 望文生義以為和「手很苦」有關 | 私は人前で話すのが苦手です。 | わたしはひとまえではなすのがにがてです。 | 我不擅長在人前說話。
留守 | るす | 不在家、外出 | 誤以為是「留守、留下看守」。剛好相反 | 訪ねたが留守だった。 | たずねたがるすだった。 | 去拜訪但人不在。
留守番 | るすばん | 看家、留下顧家的人 | 以為「留守」就是看守，其實要加「番」才是看家 | 子供に留守番を頼んで出かけた。 | こどもにるすばんをたのんででかけた。 | 拜託小孩看家後出門了。
甘い | あまい | 甜的；（對人事）天真、寬鬆、不夠嚴 | 只知道「甜」，聽到「考えが甘い」會誤會 | その計画は見通しが甘い。 | そのけいかくはみとおしがあまい。 | 那個計畫的預估太樂觀。
辛い | からい | 辣的；（評分）嚴格 | 同字「つらい」是痛苦，讀音不同意思也不同 | あの先生は採点が辛い。 | あのせんせいはさいてんがからい。 | 那位老師打分數很嚴。
外人 | がいじん | 外國人（口語，略帶距離感） | 誤以為是「外人、外人插不上手」 | この店は外人観光客に人気です。 | このみせはがいじんかんこうきゃくににんきです。 | 這家店很受外國觀光客歡迎。
一味 | いちみ | 同夥、一伙（多指壞事）；一種調味 | 誤以為是「一味、一昧地」。中文那個意思日文用「ひたすら」「やたらと」 | 彼も強盗の一味だった。 | かれもごうとうのいちみだった。 | 他也是搶匪的同夥。
迷子 | まいご | 走失的小孩、迷路的人 | 望文生義以為是「迷惑的孩子」 | デパートで迷子になりました。 | デパートでまいごになりました。 | 在百貨公司走丟了。
女将 | おかみ | （旅館、料亭的）老闆娘 | 誤以為和「女將軍」有關 | 旅館の女将が笑顔で出迎えてくれた。 | りょかんのおかみがえがおででむかえてくれた。 | 旅館老闆娘笑臉相迎。
仲居 | なかい | 旅館、料亭裡負責招待的女服務員 | 沒看過這個詞，容易和「中居」姓氏搞混 | 仲居さんが部屋まで料理を運んでくれる。 | なかいさんがへやまでりょうりをはこんでくれる。 | 服務員會把菜端到房間。
節目 | ふしめ | 轉折點、階段、里程碑 | 誤以為是電視「節目」。電視節目日文是「番組（ばんぐみ）」 | 創立十周年という節目を迎えた。 | そうりつじゅっしゅうねんというふしめをむかえた。 | 迎來創立十週年這個里程碑。
番組 | ばんぐみ | （電視、廣播）節目 | 想不到「節目」要用這個詞 | 好きなテレビ番組は何ですか。 | すきなテレビばんぐみはなんですか。 | 你喜歡的電視節目是什麼？
天井 | てんじょう | 天花板 | 誤以為是「天井、中庭」。中庭日文是「中庭（なかにわ）」 | 天井が高くて開放的な部屋です。 | てんじょうがたかくてかいほうてきなへやです。 | 是天花板很高、很開闊的房間。
泥棒 | どろぼう | 小偷 | 望文生義以為和「泥、棍棒」有關 | 泥棒に財布を盗まれました。 | どろぼうにさいふをぬすまれました。 | 錢包被小偷偷走了。
交番 | こうばん | 派出所 | 誤以為是「交班、輪班」 | 道に迷ったら交番で聞きましょう。 | みちにまよったらこうばんでききましょう。 | 迷路的話去派出所問吧。
都合 | つごう | （時間、狀況的）方便與否 | 望文生義以為和「首都、都市」有關 | 明日は都合が悪いので、あさってはどうですか。 | あしたはつごうがわるいので、あさってはどうですか。 | 明天不方便，後天如何？
遠慮 | えんりょ | 客氣、顧慮；「ご遠慮ください」是委婉的禁止（請勿） | 看到告示「ご遠慮ください」以為是「請考慮一下」，其實是「請勿」 | 館内での撮影はご遠慮ください。 | かんないでのさつえいはごえんりょください。 | 館內請勿攝影。
結束 | けっそく | 團結、齊心 | 誤以為是「結束、完結」。完結日文是「終わり」「終了」 | チームの結束を強めよう。 | チームのけっそくをつよめよう。 | 加強團隊的凝聚力吧。
高校 | こうこう | 高中 | 誤以為是「高等院校、大學」 | 娘は今、高校二年生です。 | むすめはいま、こうこうにねんせいです。 | 我女兒現在高二。
用意 | ようい | 準備 | 誤以為是「用意、意圖」。意圖日文是「意図（いと）」「狙い」 | 出発の用意はできましたか。 | しゅっぱつのよういはできましたか。 | 出發的準備好了嗎？
是非 | ぜひ | 務必、一定（要）；是非對錯 | 只知道「是非、對錯」，聽到「ぜひ来てください」會誤會 | 東京に来たら是非連絡してください。 | とうきょうにきたらぜひれんらくしてください。 | 來東京的話請務必聯絡我。
勝手 | かって | 隨便、任意、擅自；廚房（古語） | 誤以為和「勝、贏」有關 | 勝手に部屋に入らないでください。 | かってにへやにはいらないでください。 | 請不要擅自進房間。
迷惑メール | めいわくメール | 垃圾郵件、廣告信 | 以為是「令人困惑的信」，其實就是 spam | 迷惑メールが毎日たくさん届く。 | めいわくメールがまいにちたくさんとどく。 | 每天收到一堆垃圾郵件。
本気 | ほんき | 認真、當真 | 望文生義以為是「本來的氣、元氣」 | 冗談じゃなくて本気で言っている。 | じょうだんじゃなくてほんきでいっている。 | 我不是開玩笑，是認真的。
本番 | ほんばん | 正式上場、來真的（相對於排練） | 沒看過這個詞，容易照字面亂猜 | リハーサルより本番の方が緊張する。 | リハーサルよりほんばんのほうがきんちょうする。 | 比起彩排，正式上場更緊張。
出前 | でまえ | 外送（餐點） | 望文生義以為是「出門前」 | 雨の日はよく出前を取ります。 | あめのひはよくでまえをとります。 | 下雨天常叫外送。
持ち帰り | もちかえり | 外帶 | 想不到「外帶」的說法，或和「持ち込み」搞混 | ここで食べますか、持ち帰りですか。 | ここでたべますか、もちかえりですか。 | 內用還是外帶？
放題 | ほうだい | 「〜放題」＝隨你…到飽、無限量 | 沒看過，容易忽略；食べ放題＝吃到飽、飲み放題＝喝到飽 | このお店は二時間食べ放題です。 | このおみせはにじかんたべほうだいです。 | 這家店是兩小時吃到飽。
割引 | わりびき | 折扣、打折 | 「三割引」是打七折（減 30%），不是打三折，容易算反 | 学生証を見せると二割引になります。 | がくせいしょうをみせるとにわりびきになります。 | 出示學生證可打八折。
無料 | むりょう | 免費 | 「料」讓人聯想到料理，其實是「費用」 | Wi-Fiは無料でご利用いただけます。 | ワイファイはむりょうでごりよういただけます。 | Wi-Fi 可免費使用。
有料 | ゆうりょう | 要收費、付費 | 同上，容易和「有用」混淆 | この駐車場は三十分から有料です。 | このちゅうしゃじょうはさんじゅっぷんからゆうりょうです。 | 這個停車場超過三十分鐘要收費。
両替 | りょうがえ | 換錢、換鈔、換零錢 | 望文生義以為和「兩、雙方」有關 | 千円札を百円玉に両替できますか。 | せんえんさつをひゃくえんだまにりょうがえできますか。 | 可以把千圓鈔換成百圓硬幣嗎？
案内 | あんない | 帶路、導覽、通知 | 誤以為是「案件、內情」 | 係の者が会場までご案内します。 | かかりのものがかいじょうまでごあんないします。 | 工作人員會帶您到會場。
遠足 | えんそく | 校外教學、郊遊 | 望文生義以為是「走很遠」 | 明日は子供の遠足で早起きです。 | あしたはこどものえんそくではやおきです。 | 明天小孩要校外教學，得早起。
怪我 | けが | 受傷 | 望文生義以為和「怪罪自己」有關 | 転んで足を怪我しました。 | ころんであしをけがしました。 | 跌倒把腳弄傷了。
生 | なま | 生的、未加工的；生啤酒 | 點餐時「生一つ」不是「來一份生的」，是「一杯生啤酒」 | とりあえず生一つください。 | とりあえずなまひとつください。 | 先來一杯生啤酒。
上手 | じょうず | 擅長、拿手 | 「お上手ですね」有時只是客套，不一定真的稱讚 | 日本語がお上手ですね。 | にほんごがおじょうずですね。 | 你日語說得真好。
